NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
MARILEI VIEIRA,PTB,Direita,PR,FEMININO,BRANCA,50.0,23000.0,BENS_G4,SUPERIOR INCOMPLETO,VIGILANTE,N,NÃO DIVULGÁVEL,1408
RSÁ FILHO,UNIÃO,Direita,PI,MASCULINO,PARDA,50.0,2906273.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,4444
ELIANA SARMENTO,NOVO,Direita,GO,FEMININO,BRANCA,62.0,295000.0,BENS_G2,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,N,NÃO DIVULGÁVEL,3007
JOSIAS LICATA,PODE,Direita,RR,MASCULINO,PARDA,52.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1922
PATRÍCIA LINHARES,PSDB,Centro,BA,FEMININO,PARDA,48.0,782000.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,4569
ELIANA PEDROSA,UNIÃO,Direita,DF,FEMININO,BRANCA,69.0,9347423.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,4400
AVANI DE ALMEIDA,PDT,Esquerda,BA,FEMININO,PARDA,49.0,nan,nan,SUPERIOR INCOMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,1266
SUZANA BARBIE,UNIÃO,Direita,BA,FEMININO,BRANCA,39.0,55000.0,BENS_G4,SUPERIOR COMPLETO,PUBLICITÁRIO,N,NÃO DIVULGÁVEL,4475
SIMONE SANTOS,PDT,Esquerda,MG,FEMININO,PARDA,53.0,nan,nan,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,1269
SARGENTO NATALIA,REPUBLICANOS,Direita,TO,FEMININO,BRANCA,46.0,102000.0,BENS_G3,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,1055
SUBTENENTE GONZAGA,PSD,Direita,MG,MASCULINO,BRANCA,60.0,343686.0,BENS_G2,SUPERIOR COMPLETO,POLICIAL MILITAR,S,NÃO DIVULGÁVEL,5522
CORONEL FERES,UNIÃO,Direita,SC,MASCULINO,BRANCA,55.0,1373963.0,BENS_G1,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,4464
SÁVIO FONTES,AVANTE,Centro,MG,MASCULINO,PARDA,40.0,277120.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,7030
GOMES FARIAS,PP,Direita,CE,MASCULINO,BRANCA,85.0,165000.0,BENS_G3,SUPERIOR COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,N,NÃO DIVULGÁVEL,1112
EDINHO DA ARANTINA,PRTB,Direita,GO,MASCULINO,PARDA,52.0,1540000.0,BENS_G1,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,2844
DONA EDNA DE OLIVEIRA,MDB,Centro,SP,FEMININO,PRETA,60.0,64.0,BENS_G4,ENSINO MÉDIO INCOMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,1556
OLIVAL MARQUES,MDB,Centro,PA,MASCULINO,BRANCA,41.0,1534304.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,1500
JEAN RODRIGUES,DC,Direita,RN,MASCULINO,BRANCA,49.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2710
TIÃOZINHO DO JACARÉ,REPUBLICANOS,Direita,RJ,MASCULINO,PRETA,53.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1074
ANA MACHADO,PSD,Direita,RS,FEMININO,PRETA,49.0,17722.0,BENS_G4,ENSINO FUNDAMENTAL COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,5573
FATIMA PELAES,REPUBLICANOS,Direita,AP,FEMININO,PARDA,63.0,198680.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,1010
ARIANA MORAES,PATRIOTA,Direita,AP,FEMININO,PARDA,57.0,100000.0,BENS_G3,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,5122
LAURA COSTA,PSB,Esquerda,MG,FEMININO,BRANCA,24.0,32495.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,4071
VIGILANTE REGINALDO MORAIS,REPUBLICANOS,Direita,RS,MASCULINO,PRETA,50.0,200000.0,BENS_G3,SUPERIOR COMPLETO,VIGILANTE,N,NÃO DIVULGÁVEL,1072
IVAN CESAR,PTB,Direita,AP,MASCULINO,PARDA,36.0,nan,nan,SUPERIOR COMPLETO,TÉCNICO EM INFORMÁTICA,N,NÃO DIVULGÁVEL,1433
TALITA OLIVEIRA,REPUBLICANOS,Direita,BA,FEMININO,PARDA,37.0,519830.0,BENS_G2,SUPERIOR INCOMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,1022
JAIR PRODUÇÕES,PATRIOTA,Direita,RJ,MASCULINO,PRETA,48.0,47500.0,BENS_G4,ENSINO FUNDAMENTAL INCOMPLETO,PRODUTOR DE ESPETÁCULOS PÚBLICOS,N,NÃO DIVULGÁVEL,5178
MARCELO NILO,REPUBLICANOS,Direita,BA,MASCULINO,BRANCA,67.0,5796787.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,1011
VANDERLEI,PROS,Centro,RR,MASCULINO,BRANCA,50.0,14978000.0,BENS_G1,SUPERIOR COMPLETO,CONTADOR,N,NÃO DIVULGÁVEL,9022
CRISTIANO SALMEIRÃO,SOLIDARIEDADE,Centro,SP,MASCULINO,BRANCA,48.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,7723
EDUARDO DE MARIA,PMN,Esquerda,RN,MASCULINO,BRANCA,33.0,nan,nan,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,3322
CAMILA ARAÚJO,UNIÃO,Direita,RN,FEMININO,BRANCA,34.0,110000.0,BENS_G3,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,4477
ARTEN,MDB,Centro,SP,MASCULINO,BRANCA,64.0,150803.0,BENS_G3,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1526
ELAINE MONIZ MAIS SAÚDE SIM,MDB,Centro,BA,FEMININO,PRETA,41.0,65792.0,BENS_G4,SUPERIOR COMPLETO,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,N,NÃO DIVULGÁVEL,1552
ZEZINHO,PRTB,Direita,RN,MASCULINO,PARDA,67.0,nan,nan,ENSINO FUNDAMENTAL INCOMPLETO,"PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA, FAXINEIRO E ZELADOR",N,NÃO DIVULGÁVEL,2844
ROBSON OLIVEIRA,PODE,Direita,BA,MASCULINO,BRANCA,44.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,1990
MARLI ALVES,AGIR,Direita,RJ,FEMININO,PRETA,63.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,3611
WILL CONECTADO COM VOCÊ,PDT,Esquerda,PE,MASCULINO,PRETA,39.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1277
PROFESSORA ROSINEIA FROTA ,PSB,Esquerda,AC,FEMININO,BRANCA,44.0,265000.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,4077
NEINHA BASTOS,PDT,Esquerda,BA,FEMININO,PARDA,54.0,96310.0,BENS_G3,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,N,NÃO DIVULGÁVEL,1222
PROFESSORA MARIA JOSÉ DE SENA,PSB,Esquerda,PE,FEMININO,BRANCA,61.0,252366.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,4001
CORONEL WELLINGTON,PODE,Direita,GO,MASCULINO,PARDA,58.0,203.0,BENS_G4,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,1901
PATRICIA ZANELLA,REDE,Esquerda,SP,FEMININO,PARDA,26.0,2046.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1822
AÉCIO NEVES,PSDB,Centro,MG,MASCULINO,BRANCA,62.0,1943934.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,4500
EVERSON DAMIÃO,PP,Direita,MG,MASCULINO,BRANCA,35.0,28500.0,BENS_G4,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,1187
AIRTON GLEISSON,PSOL,Esquerda,CE,MASCULINO,PRETA,35.0,17120.0,BENS_G4,SUPERIOR INCOMPLETO,TÉCNICO EM INFORMÁTICA,N,NÃO DIVULGÁVEL,5010
CRISTINA ALMEIDA - NOSSA VOZ,PSB,Esquerda,AP,FEMININO,PRETA,56.0,346680.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,4090
WILLIAM BORGES,PMB,Direita,CE,MASCULINO,PARDA,34.0,42056.0,BENS_G4,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,3556
NEWTON MINEIRO,PSB,Esquerda,MG,MASCULINO,PARDA,72.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,4051
MAYA ELIZ,PSOL,Esquerda,CE,FEMININO,BRANCA,24.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,5007
CLÉSSIO SOARES,REDE,Esquerda,BA,MASCULINO,PARDA,43.0,38000.0,BENS_G4,SUPERIOR INCOMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,1800
FÁBIO MACEDO,PODE,Direita,MA,MASCULINO,BRANCA,41.0,435000.0,BENS_G2,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1919
WILSON MARTINS,PT,Esquerda,PI,MASCULINO,BRANCA,69.0,4286132.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,1340
FRAN TRIANI,UNIÃO,Direita,SP,FEMININO,BRANCA,36.0,2310.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,4406
CHICO D ANGELO,PDT,Esquerda,RJ,MASCULINO,BRANCA,69.0,468913.0,BENS_G2,SUPERIOR COMPLETO,MÉDICO,S,NÃO DIVULGÁVEL,1210
RAILDA PEREIRA,PMN,Esquerda,MG,FEMININO,PRETA,26.0,nan,nan,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,3344
LISDEILI VOU COM ELAS,PSOL,Esquerda,BA,FEMININO,BRANCA,48.0,1610000.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,5005
SIDNEY LEITE,PSD,Direita,AM,MASCULINO,PARDA,55.0,278513.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,5555
VALENTINA,PT,Esquerda,PR,FEMININO,PARDA,25.0,nan,nan,SUPERIOR INCOMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,1301
ALINE GUIMARÃES,PRTB,Direita,RN,FEMININO,BRANCA,37.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2833
PROFESSOR MÁRCIO,PSB,Esquerda,GO,MASCULINO,BRANCA,51.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,4007
CAROL RIBEIRO,PODE,Direita,DF,FEMININO,PARDA,34.0,135000.0,BENS_G3,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1991
ELAINE MARINS,PDT,Esquerda,PR,FEMININO,PARDA,44.0,185000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,1277
REINALDO É O CLIMA,REDE,Esquerda,SC,MASCULINO,BRANCA,57.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,1881
LINO,PT,Esquerda,MG,MASCULINO,PRETA,59.0,1065973.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,1356
WILL GODOY,PP,Direita,DF,MASCULINO,PARDA,49.0,378000.0,BENS_G2,SUPERIOR COMPLETO,BOMBEIRO MILITAR,N,NÃO DIVULGÁVEL,1144
NEWTON CARDOSO JR,MDB,Centro,MG,MASCULINO,BRANCA,43.0,2029907.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,1510
EVANDRO DOS NAVEGANTES,PSDB,Centro,SC,MASCULINO,BRANCA,44.0,333578.0,BENS_G2,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,4545
MAIKEL,PMN,Esquerda,RN,MASCULINO,PRETA,35.0,nan,nan,ENSINO FUNDAMENTAL INCOMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,N,NÃO DIVULGÁVEL,3323
YENNA,MDB,Centro,RJ,MASCULINO,PARDA,45.0,nan,nan,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1577
ANDREIA BAETA,PSDB,Centro,MG,FEMININO,PARDA,50.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,4530
IRMAO OSINALDO,PL,Direita,PE,MASCULINO,PARDA,49.0,nan,nan,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,2299
ZELIA MOURA,NOVO,Direita,PE,FEMININO,BRANCA,62.0,700000.0,BENS_G2,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,3012
MARLI LIPERTE,PSB,Esquerda,RS,FEMININO,BRANCA,57.0,112000.0,BENS_G3,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,4007
PETER AXL,MDB,Centro,MA,MASCULINO,PARDA,42.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1533
ADRIANA MELO,PTB,Direita,MS,FEMININO,BRANCA,42.0,100659.0,BENS_G3,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1449
CAPITÃO SAMUEL,PP,Direita,SE,MASCULINO,PARDA,52.0,123541.0,BENS_G3,SUPERIOR COMPLETO,MILITAR REFORMADO,N,NÃO DIVULGÁVEL,1111
GEDSON MERIZIO,PODE,Direita,ES,MASCULINO,PARDA,48.0,403000.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1940
ARILSON,PSC,Direita,SP,MASCULINO,PARDA,49.0,135659.0,BENS_G3,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,2045
FABIANE RODRIGUES,PATRIOTA,Direita,RS,FEMININO,BRANCA,45.0,190000.0,BENS_G3,ENSINO MÉDIO COMPLETO,VIGILANTE,N,NÃO DIVULGÁVEL,5113
LOCATELLI,PRTB,Direita,RS,MASCULINO,BRANCA,57.0,nan,nan,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,2882
DIMAS GADELHA,PT,Esquerda,RJ,MASCULINO,PARDA,47.0,1605000.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,1301
LIDIANE MORAES,CIDADANIA,Esquerda,DF,FEMININO,PRETA,34.0,nan,nan,SUPERIOR COMPLETO,TERAPEUTA,N,NÃO DIVULGÁVEL,2325
CLAUDETE GHELLER MATHIAS,PODE,Direita,SC,FEMININO,BRANCA,58.0,135700.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,1991
PAULO GUILHERMINO,PMB,Direita,SP,MASCULINO,BRANCA,51.0,384533.0,BENS_G2,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,3588
DR CLEITON IBIAPINA,CIDADANIA,Esquerda,PI,MASCULINO,PARDA,53.0,89000.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,2345
ARLENE GRAF,PATRIOTA,Direita,SC,FEMININO,BRANCA,63.0,1977800.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,5122
DJ ALEXANDRE THUSCO ELVIS,UNIÃO,Direita,RS,MASCULINO,BRANCA,56.0,24900.0,BENS_G4,ENSINO FUNDAMENTAL COMPLETO,PRODUTOR DE ESPETÁCULOS PÚBLICOS,N,NÃO DIVULGÁVEL,4474
DR ARY CAMPOS,MDB,Centro,MT,MASCULINO,PRETA,34.0,339000.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1502
PROFESSORA IOLANE,PODE,Direita,MG,FEMININO,PRETA,52.0,210000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,1988
DR. VINICIUS,DC,Direita,BA,MASCULINO,BRANCA,33.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,2708
THIAGO FLORES,MDB,Centro,RO,MASCULINO,BRANCA,42.0,693047.0,BENS_G2,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,1522
BIANCA MACHADO,PL,Direita,RJ,MASCULINO,PARDA,43.0,12000.0,BENS_G4,SUPERIOR COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,2267
SANDRA AMORIM,PODE,Direita,SC,FEMININO,BRANCA,59.0,570000.0,BENS_G2,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,1955
JESSICA SALES,MDB,Centro,AC,FEMININO,PARDA,42.0,1508258.0,BENS_G1,SUPERIOR COMPLETO,ADMINISTRADOR,S,NÃO DIVULGÁVEL,1515
GUSSON,PMN,Esquerda,SP,MASCULINO,BRANCA,64.0,216938.0,BENS_G3,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,3307
CAL MOREIRA,PV,Esquerda,AL,MASCULINO,PARDA,43.0,703870.0,BENS_G2,ENSINO MÉDIO COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,4377
VITOR SILVA,PSC,Direita,MG,MASCULINO,PRETA,26.0,117000.0,BENS_G3,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2004
DRA. HERICA,PSC,Direita,SP,FEMININO,BRANCA,50.0,12297.0,BENS_G4,ENSINO FUNDAMENTAL COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,2012
FENEME,CIDADANIA,Esquerda,PR,MASCULINO,PARDA,57.0,441142.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,2324
JANIO TRATADOR,PATRIOTA,Direita,PE,MASCULINO,BRANCA,43.0,nan,nan,ENSINO FUNDAMENTAL COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,5117
CLEUZA BORDIN,SOLIDARIEDADE,Centro,SP,FEMININO,BRANCA,52.0,262000.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,7737
COBALCHINI,MDB,Centro,SC,MASCULINO,BRANCA,59.0,1715510.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,1560
IVAN SERIGATO,PODE,Direita,SP,MASCULINO,BRANCA,46.0,411000.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1917
PAULO MONTENEGRO,PSDB,Centro,CE,MASCULINO,PARDA,34.0,nan,nan,ENSINO MÉDIO COMPLETO,CABELEIREIRO E BARBEIRO,N,NÃO DIVULGÁVEL,4565
NORMA AYUB,PP,Direita,ES,FEMININO,BRANCA,62.0,1884855.0,BENS_G1,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,1125
FÁBIO MANFRINATO,PATRIOTA,Direita,SP,MASCULINO,BRANCA,47.0,482655.0,BENS_G2,SUPERIOR COMPLETO,FARMACÊUTICO,N,NÃO DIVULGÁVEL,5114
SÍDNEY BRASIL,AGIR,Direita,PA,MASCULINO,PARDA,38.0,nan,nan,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,3684
ALINE RISI,REPUBLICANOS,Direita,MG,FEMININO,PARDA,42.0,114877.0,BENS_G3,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,1099
HEITOR HOLANDA,PSB,Esquerda,CE,MASCULINO,PARDA,45.0,nan,nan,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,4050
MARCELO ACHUTTI,MDB,Centro,SC,MASCULINO,BRANCA,44.0,700609.0,BENS_G2,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,1520
SIGI VILARES,REPUBLICANOS,Direita,BA,MASCULINO,PARDA,44.0,379168.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1012
RIGO,PATRIOTA,Direita,BA,MASCULINO,PARDA,53.0,450000.0,BENS_G2,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,5133
BYANCA REGINA,PRTB,Direita,MA,FEMININO,PARDA,26.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2818
JONATAN DO ESCOLAR,AGIR,Direita,MG,MASCULINO,BRANCA,42.0,250000.0,BENS_G3,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,3612
ALEXANDRE MOTTA,PT,Esquerda,RN,MASCULINO,BRANCA,58.0,1750859.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,1300
KYM LOCKS,NOVO,Direita,SC,MASCULINO,BRANCA,32.0,247375.0,BENS_G3,SUPERIOR COMPLETO,ODONTÓLOGO,N,NÃO DIVULGÁVEL,3003
PROFESSOR WALBER,AGIR,Direita,RJ,MASCULINO,PARDA,45.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,3680
THIAGO RABONI,PODE,Direita,RJ,MASCULINO,BRANCA,35.0,43334.0,BENS_G4,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1940
ANDRÉA SANTOS,PODE,Direita,PR,FEMININO,BRANCA,51.0,335033.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1997
LUANA SANTOS,PTB,Direita,MA,FEMININO,PRETA,29.0,6479.0,BENS_G4,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,1444
SUSANA LAMBERT,PSD,Direita,SP,FEMININO,BRANCA,41.0,192754.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,5557
HUDSON TOURINHO,AVANTE,Centro,RN,MASCULINO,PARDA,33.0,259491.0,BENS_G3,SUPERIOR COMPLETO,CONTADOR,N,NÃO DIVULGÁVEL,7070
DELEGADA ANA PAULA,PATRIOTA,Direita,MG,FEMININO,BRANCA,38.0,909000.0,BENS_G1,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,5103
CHARLES NUNES,AVANTE,Centro,TO,MASCULINO,PARDA,27.0,nan,nan,SUPERIOR INCOMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,7038
ROGÉRIO BARROS,PROS,Centro,AC,MASCULINO,PARDA,46.0,nan,nan,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,9033
GLÓRIA MENEGOTTO,UNIÃO,Direita,RS,FEMININO,BRANCA,65.0,1551949.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,4488
TATY DA CIVIL,PTB,Direita,SC,FEMININO,BRANCA,43.0,95523.0,BENS_G3,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,1440
PRICYLLA BIANCHI,SOLIDARIEDADE,Centro,SC,FEMININO,BRANCA,42.0,nan,nan,ENSINO MÉDIO COMPLETO,"SECRETÁRIO,ESTENÓGRAFO,DATILÓGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUÍGRAF",N,NÃO DIVULGÁVEL,7701
NEGUINHO DA BORRACHARIA,PATRIOTA,Direita,MT,MASCULINO,PRETA,38.0,50000.0,BENS_G4,ENSINO MÉDIO INCOMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,5151
VANESSA É O BICHO,PT,Esquerda,DF,FEMININO,PARDA,48.0,341794.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,1324
PROF CRISTIANO BISPO,DC,Direita,SE,MASCULINO,PARDA,40.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,N,NÃO DIVULGÁVEL,2760
PROF. FABRÍCIO FORTALEZA,NOVO,Direita,PI,MASCULINO,PARDA,45.0,116228.0,BENS_G3,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,3031
HELTON MICHAEL,PMN,Esquerda,SP,MASCULINO,BRANCA,47.0,262000.0,BENS_G3,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,3378
TENENTE JEFERSON,PRTB,Direita,TO,MASCULINO,PARDA,49.0,135500.0,BENS_G3,ENSINO MÉDIO COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,2890
LIAH PRADO DO POVO,PRTB,Direita,PR,FEMININO,BRANCA,51.0,221275.0,BENS_G3,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,2855
MAZINHO,PDT,Esquerda,RJ,MASCULINO,BRANCA,62.0,16402.0,BENS_G4,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1223
